bs,layer,source,x,probability
4,1,predicted,7,0.17990549108050818
4,1,predicted,8,0.05451887725704862
4,1,predicted,9,0.01206374418025313
4,1,predicted,10,0.002000837426991268
4,1,predicted,11,0.0002550872115072701
4,1,predicted,12,2.309696576910489e-05
4,1,predicted,13,6.92667850351545e-07
4,1,predicted,14,9.792043745425831e-09
4,1,predicted,15,6.43228284405033e-11
4,1,predicted,16,1.6160441318480822e-13
4,1,fixed_actual,4,0.017641129032258066
4,1,fixed_actual,5,0.2626008064516129
4,1,fixed_actual,6,0.31955645161290325
4,1,fixed_actual,7,0.19506048387096775
4,1,fixed_actual,8,0.1436491935483871
4,1,fixed_actual,9,0.028729838709677418
4,1,fixed_actual,10,0.017137096774193547
4,1,fixed_actual,11,0.01310483870967742
4,1,fixed_actual,12,0.0025201612903225806
4,1,cont_sim,4,0.01925
4,1,cont_sim,5,0.3401
4,1,cont_sim,6,0.39005
4,1,cont_sim,7,0.1797
4,1,cont_sim,8,0.05605
4,1,cont_sim,9,0.0123
4,1,cont_sim,10,0.00215
4,1,cont_sim,11,0.00035
4,1,cont_sim,12,5e-05
4,2,predicted,4,0.01230244748442631
4,2,predicted,5,0.24806040029211182
4,2,predicted,6,0.31998201685264166
4,2,predicted,7,0.20895674233496805
4,2,predicted,8,0.11905623724745147
4,2,predicted,9,0.05975145139244729
4,2,predicted,10,0.023892628496987204
4,2,predicted,11,0.006781326367498506
4,2,predicted,12,0.0011948357521831868
4,2,predicted,13,2.1757773032567627e-05
